bill_type_bill_name_bill_ID	missing_votes	 Arlen Specter (PA)	 Barack H. Obama (IL)	 Barbara A. Mikulski (MD)	 Barbara Boxer (CA)	 Bill Nelson (FL)	 Blanche L. Lincoln (AR)	 Byron L. Dorgan (ND)	 C. Saxby Chambliss (GA)	 Carl Levin (MI)	 Charles E. 'Chuck' Grassley (IA)	 Charles E. 'Chuck' Schumer (NY)	 Charles T. 'Chuck' Hagel (NE)	 Christopher J. Dodd (CT)	 Christopher S. 'Kit' Bond (MO)	 Conrad R. Burns (MT)	 Craig Thomas (WY)	 Daniel K. Inouye (HI)	 Daniel Kahikina Akaka (HI)	 David B. Vitter (LA)	 Debbie Ann Stabenow (MI)	 Dianne Feinstein (CA)	 E. Benjamin 'Ben' Nelson (NE)	 Edward M. 'Ted' Kennedy (MA)	 Elizabeth H. Dole (NC)	 Evan Bayh (IN)	 Frank R. Lautenberg (NJ)	 George Felix Allen (VA)	 George V. Voinovich (OH)	 Gordon Harold Smith (OR)	 Harry M. Reid (NV)	 Herbert H. 'Herb' Kohl (WI)	 Hillary Rodham Clinton (NY)	 James M. 'Jim' Inhofe (OK)	 James M. 'Jim' Talent (MO)	 James Merrill 'Jim' Jeffords (VT)	 Jeff Bingaman (NM)	 Jefferson B. 'Jeff' Sessions III (AL)	 Jim Bunning (KY)	 Jim W. DeMint (SC)	 John Cornyn (TX)	 John D. 'Jay' Rockefeller IV (WV)	 John E. Sununu (NH)	 John Eric Ensign (NV)	 John F. 'Jack' Reed (RI)	 John Forbes Kerry (MA)	 John H. 'Johnny' Isakson (GA)	 John R. Thune (SD)	 John S. McCain (AZ)	 John W. Warner (VA)	 Jon Kyl (AZ)	 Joseph I. Lieberman (CT)	 Joseph R. Biden Jr. (DE)	 Judd A. Gregg (NH)	 Kay Bailey Hutchison (TX)	 Ken Salazar (CO)	 Kent Conrad (ND)	 Lamar Alexander (TN)	 Larry E. Craig (ID)	 Lincoln D. Chafee (RI)	 Lindsey O. Graham (SC)	 Lisa A. Murkowski (AK)	 Maria Cantwell (WA)	 Mark Dayton (MN)	 Mark Pryor (AR)	 Mary L. Landrieu (LA)	 Max S. Baucus (MT)	 Mel Martinez (FL)	 Michael B. Enzi (WY)	 Michael D. 'Mike' Crapo (ID)	 Michael 'Mike' DeWine (OH)	 Mitch McConnell (KY)	 Norm Coleman (MN)	 Olympia J. Snowe (ME)	 Orrin G. Hatch (UT)	 Pat Roberts (KS)	 Patrick J. Leahy (VT)	 Patty Murray (WA)	 Paul S. Sarbanes (MD)	 Pete V. Domenici (NM)	 Richard C. Shelby (AL)	 Richard G. Lugar (IN)	 Richard J. 'Dick' Durbin (IL)	 Richard J. 'Rick' Santorum (PA)	 Richard M. Burr (NC)	 Robert C. Byrd (WV)	 Robert F. Bennett (UT)	 Robert Menendez (NJ)	 Ron Wyden (OR)	 Russell D. Feingold (WI)	 Samuel D. 'Sam' Brownback (KS)	 Susan M. Collins (ME)	 Ted Stevens (AK)	 Thad Cochran (MS)	 Thomas Allen 'Tom' Coburn (OK)	 Thomas Richard Carper (DE)	 Thomas 'Tom' Harkin (IA)	 Tim P. Johnson (SD)	 Trent Lott (MS)	 Wayne A. Allard (CO)	 William H. 'Bill' Frist (TN)
Business and Consumers_Price-Gouging During Emergencies Amendment_3704	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Business and Consumers_Violent Protestor Amendment_3483	1	1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Education_Individuals with Disabilities Education Amendment_3685	1	-1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Education_To Increase The Maximum Federal Pell Grant Amendment_3658	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Energy Issues_Alaska Judicial Review Amendment_3668	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Energy Issues_Arctic National Wildlife Refuge Drilling Amendment_3493	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Energy Issues_Energy Policy Act of 2005_3592	1	1	1	1	-1	-1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	0	-1	-1	1	1	1	1	1	-1	1	1	1	1	1
Energy Issues_Reduction in Dependence on Foreign Oil_3553	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Energy Issues_Renewable Portfolio Standard (RPS) Amendment_3557	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	0	1	1	1	1	-1	-1	-1	1	1	1	-1	-1	-1
Environmental Issues_ANWR Amendment_3672	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Executive Branch_John Negroponte, Director of National Intelligence_3505"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	-1	1	1	1	1
"Executive Branch_John Roberts, Chief Justice of the U.S. Supreme Court_3627"	1	1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	1	1	1
Family and Children Issues_Child Custody Protection Act_3881	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	1	-1	1	-1	0	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	1	-1	1	1	1	1
Family and Children Issues_Teen Pregnancy Education Amendment_3882	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	0	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Gun Issues_Child Safety Lock Amendment_3594	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	1	-1	0	1	1	1	1	1	-1	-1	1	1	1	-1	-1	1
Health Issues_Hurricane Health Care for Survivors Amendment_3673	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Health Issues_Medicaid Amendment_3496	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
Health Issues_Medicaid Generic Drug Amendment_3662	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Health Issues_Medical Assistance and Prescription Drug Amendment_3671	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1
Military Issues_Habeas Review Amendment_3908	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Military Issues_Troop Redeployment Amendment_3856	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1
National Security Issues_USA PATRIOT and Terrorism Prevention Reauthorization_3801	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1
Senior and Social Security Issues_Medicare Premiums Amendment_3666	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Senior and Social Security Issues_Prescription Drug Plan Amendment_3667	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Trade Issues_CAFTA Implementation Bill_3587	1	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	0	1	-1	1	-1	1	1	1	1	-1	-1	1	1	1
Transportation Issues_Transportation Equity Act: A Legacy for Users_3516	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	-1	-1	1	1	1	1	1	1	1	1	1	1
Veterans Issues_Health Care for Veterans Amendment_3643	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Appropriations_Defense Department FY2006 Authorization bill_3717	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"Appropriations_Emergency Supplemental Appropriations Act, 2005_3508"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"Appropriations_Emergency Supplemental Appropriations Act, 2006_3821"	2	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	0	-1	-1	1	1	-1	1	-1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1
Appropriations_Foreign Operations FY2006 Appropriations Bill_3578	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Appropriations_US Agency for International Development Amendment_3605	2	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	1	-1	0	-1	-1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	0	1	-1	1	1	1	1	1	-1	-1	1	1	1	1
"Budget, Spending and Taxes_Budget FY2006 Appropriations Resolution_3512"	2	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	0	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Death/EstateTax and Minimum Wage Bill of 2006_3893"	2	1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	0	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1
"Budget, Spending and Taxes_Earned Income Tax Credit Amendment_3703"	2	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	0	-1	-1
"Budget, Spending and Taxes_Pay As You Go Amendment_3708"	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	1	1	1	1	0	-1	-1
"Budget, Spending and Taxes_Tax Reconciliation bill_3823"	2	0	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	0	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Tax Subsidy for Domestic Companies Amendment_3499"	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	0	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Temporary Tax on Crude Oil Amendment_3709"	2	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	0	-1	-1
Business and Consumers_Bankruptcy Reform Bill_3480	2	1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	0	-1	-1	1	1	1	1	1	1	-1	1	1	1	1
Business and Consumers_Minimum Wage Amendment_3481	2	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	0	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1
Business and Consumers_Targeted Case Management Amendment_3664	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	0	1	1	1	-1	-1	-1
Congressional Affairs_Congressional Commission on Hurricane Katrina_3614	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	0	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Congressional Affairs_Congressional Pay Raise Amendment_3649	2	1	1	1	1	1	1	1	0	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Defense_Judicial Review of Detainees Amendment_3713	2	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	0	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
